^FCHI,FR,,IDX,TRUE
^GSPC,US,,IDX,TRUE
^DJI,US,,IDX,TRUE
^IXIC,US,,IDX,TRUE
^FTSE,UK,,IDX,TRUE
^GDAXI,GE,,IDX,TRUE
^N225,JP,,IDX,TRUE
CLM15.NYM,US,,IDX,TRUE
^BVSP,BR,,IDX,TRUE
^GSPTSE,CN,,IDX,TRUE
^MERV,US,,IDX,TRUE
^MXX,US,,IDX,TRUE
^ATX,FR,,IDX,TRUE
^BFX,FR,,IDX,TRUE
FTSEMIB.MI,FR,,IDX,TRUE
^SSMI,US,,IDX,TRUE
^HIS,US,,IDX,TRUE
^SBF250,FR,,IDX,TRUE
EURUSD=X,FR,,IDX,TRUE
EURBRL=X,FR,,IDX,TRUE
GBP=X,FR,,IDX,TRUE
EURCHF=X,FR,,IDX,TRUE
XAUUSD=X,US,,IDX,TRUE
HGJ15.CMX,US,,IDX,TRUE
^XAU,US,,IDX,TRUE
